brand,browsenode,colour,discount_percentage,medium,image_name,name_of_author_for_books,product_name,product_url,sales_price,currency,uniq_id
Nike,13015648,Black/White,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c5e0b271-ad6a-40fc-bd99-e74a8fd183fa/sportswear-swoosh-mens-overalls-rKsQ2c.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_c5e0b271-ad6a-40fc-bd99-e74a8fd183fa_sport....png,,Men's Overalls,https://www.nike.com/t/sportswear-swoosh-mens-overalls-rKsQ2c,140,USD,88120081-e6cb-5399-b9dc-a2d3d5dd5206
Nike,13809796,Black/Rush Pink,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/d5b9ae85-e70b-4bbf-b617-426325dd8d94/dri-fit-one-luxe-big-kids-girls-printed-tights-extended-size-fjSmdw.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_d5b9ae85-e70b-4bbf-b617-426325dd8d94_dri-f....png,,Big Kids' (Girls') Printed Tights (Extended Size),https://www.nike.com/t/dri-fit-one-luxe-big-kids-girls-printed-tights-extended-size-fjSmdw,22.97,USD,98348cc5-1520-5b6e-a5f6-c42547b6a092
Nike,12316355,Aegean Storm,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/cunwor9o2glsdy3jcvou/sportswear-tech-fleece-little-kids-joggers-1LgwDr.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_cunwor9o2glsdy3jcvou_sportswear-tech-fleec....png,,Little Kids' Joggers,https://www.nike.com/t/sportswear-tech-fleece-little-kids-joggers-1LgwDr,45.97,USD,d8261af3-369c-50b0-a47a-c9675ccfe0bc
Nike,13969357,Black,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/2606c354-8040-4ca8-aacb-ec5629fd3baf/dri-fit-primetime-logo-san-francisco-giants-mens-shorts-z0DGWC.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_2606c354-8040-4ca8-aacb-ec5629fd3baf_dri-f....png,,Men's Shorts,https://www.nike.com/t/dri-fit-primetime-logo-san-francisco-giants-mens-shorts-z0DGWC,45,USD,93c5f52f-8410-572f-bfd9-6b5ee951988c
Nike,12911769,Grey Heather/White/Pro Green,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/1bd9d8c2-2761-4606-8282-2eadbddd1ed3/therma-michigan-state-womens-long-sleeve-1-2-zip-fleece-pw1bPx.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_1bd9d8c2-2761-4606-8282-2eadbddd1ed3_therm....png,,Women's Long-Sleeve 1/2-Zip Fleece,https://www.nike.com/t/therma-michigan-state-womens-long-sleeve-1-2-zip-fleece-pw1bPx,40.97,USD,e126c911-7d22-50b8-a543-9eb347ef5c22
Nike,13427474,Grey Heather/Valor Blue,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/fb221958-18a4-4c4e-a02f-46c87e4f6ccd/legacy91-unc-hat-m8jP7l.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_fb221958-18a4-4c4e-a02f-46c87e4f6ccd_legac....png,,Hat,https://www.nike.com/t/legacy91-unc-hat-m8jP7l,21.97,USD,97a84e9c-b7c9-550e-b62e-9f1e1559849d
Nike,1007647902,Navy,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/65375c18-fd8d-4d1b-8b58-c27acf03bae7/rewind-playback-helmet-tennessee-titans-mens-long-sleeve-t-shirt-dq5Ngw.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_65375c18-fd8d-4d1b-8b58-c27acf03bae7_rewin....png,,Men's Long-Sleeve T-Shirt,https://www.nike.com/t/rewind-playback-helmet-tennessee-titans-mens-long-sleeve-t-shirt-dq5Ngw,55,USD,da39eaf6-f469-5370-b8bf-b9ad2946e4ed
Nike,12437418,White,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ullzf167gl2hq6naxi36/denver-nuggets-filip-pagowski-mens-nba-t-shirt-WXs14r.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_ullzf167gl2hq6naxi36_denver-nuggets-filip-....png,,Men's NBA T-Shirt,https://www.nike.com/t/denver-nuggets-filip-pagowski-mens-nba-t-shirt-WXs14r,21.97,USD,f672d8c4-e742-52c8-83a6-0c2ceb771648
Nike,13045139,,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a767fe41-827e-40a3-9985-33f5345f441b/hurley-palmdale-boys-board-shorts-rJTJtK.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_a767fe41-827e-40a3-9985-33f5345f441b_hurle....png,,Boys' Board Shorts,https://www.nike.com/t/hurley-palmdale-boys-board-shorts-rJTJtK,40,USD,78a41029-6007-56d5-aacf-c6c2ae8e83cf
Nike,13018897,Black,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a364b703-76e2-460e-8126-16b5e3fd0c30/little-kids-jdi-hat-JzwF8x.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_a364b703-76e2-460e-8126-16b5e3fd0c30_littl....png,,Little Kids' JDI Hat,https://www.nike.com/t/little-kids-jdi-hat-JzwF8x,18,USD,c853fd7a-bb00-5143-9386-37583e24898e
Nike,13921844,Rush Blue/College Navy/White,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/31d0b554-f08d-4d96-9e77-23aca9301e36/chelsea-fc-strike-mens-dri-fit-soccer-track-jacket-gxwm7n.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_31d0b554-f08d-4d96-9e77-23aca9301e36_chels....png,,Men's Nike Dri-FIT Soccer Track Jacket,https://www.nike.com/t/chelsea-fc-strike-mens-dri-fit-soccer-track-jacket-gxwm7n,90,USD,4a78cb68-fb63-53bd-b33d-b0ae4b4c63ae
Nike,13838146,Team Gold,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/2c8c1994-c74f-4847-9937-4fa9882c3523/arizona-diamondbacks-city-connect-mens-replica-baseball-jersey-8pr3TS.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_2c8c1994-c74f-4847-9937-4fa9882c3523_arizo....png,,Men's Replica Baseball Jersey,https://www.nike.com/t/arizona-diamondbacks-city-connect-mens-replica-baseball-jersey-8pr3TS,135,USD,6e9939f3-810e-5c27-8302-70dffa874c8a
Nike,12965653,Multi-Color,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4ea280f3-bb60-4791-baef-40e2fc2f8c9f/dri-fit-toddler-t-shirt-and-shorts-set-d2PkRh.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_4ea280f3-bb60-4791-baef-40e2fc2f8c9f_dri-f....png,,Toddler T-Shirt and Shorts Set,https://www.nike.com/t/dri-fit-toddler-t-shirt-and-shorts-set-d2PkRh,36,USD,61edafb8-c084-5114-a655-6b23f1484c28
Nike,1007647981,Black/Gold,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/04c60ba8-a8d6-4457-95f9-19bc0549de6c/dri-fit-athletic-arch-jersey-pittsburgh-steelers-mens-pullover-hoodie-LKxlFb.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_04c60ba8-a8d6-4457-95f9-19bc0549de6c_dri-f....png,,Men's Pullover Hoodie,https://www.nike.com/t/dri-fit-athletic-arch-jersey-pittsburgh-steelers-mens-pullover-hoodie-LKxlFb,100,USD,00993410-328d-583b-b741-939bdd833c98
Nike,13197305,Court Blue/College Navy,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/bb9ced95-9d57-41f8-b81f-4750760eed4c/sylvia-fowles-lynx-explorer-edition-dri-fit-wnba-victory-jersey-M9HZFt.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_bb9ced95-9d57-41f8-b81f-4750760eed4c_sylvi....png,,Nike Dri-FIT WNBA Victory Jersey,https://www.nike.com/t/sylvia-fowles-lynx-explorer-edition-dri-fit-wnba-victory-jersey-M9HZFt,100,USD,3312ab7b-03e6-5c15-948f-89abe59836f7
Nike,11825513,Black/Black/Black,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ygil7q2pr3ncwexcs9fd/sfb-gen-2-8-tactical-boot-ZwTJlXe3.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_ygil7q2pr3ncwexcs9fd_sfb-gen-2-8-tactical-....png,,Tactical Boot,https://www.nike.com/t/sfb-gen-2-8-tactical-boot-ZwTJlXe3,140,USD,d3885ffa-1701-5558-8840-2e542bec2515
Nike,12402528,Black/Black/White,,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/wvrpvsbaxq8nnzne45th/essential-ball-pump-VzfR35.png",static_nike_com_a_images_t_pdp_1280_v1_f_auto_q_auto_eco_wvrpvsbaxq8nnzne45th_essential-ball-pump-V....png,,Ball Pump,https://www.nike.com/t/essential-ball-pump-VzfR35,12,USD,9048b167-abcc-5947-812b-84afc85e469d
