Product Name,Price,Discount,Brand,Product URL,Image URL,Image Name
performax,799,599,https://trends.ajio.com/performax-flat-front-shorts-with-insert-pockets/p/441134817_jetblack,https://assets.ajio.com/medias/sys_master/root/20220322/PHrX/6238da5eaeb26921afe965d5/-286Wx359H-441134817-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220322_phrx_6238da5eaeb26921afe965d5_-286wx359h-441134817-....png,
teamspirit,399,335,https://trends.ajio.com/teamspirit-heathered-crew-neck-t-shirt/p/441000453_olive,https://assets.ajio.com/medias/sys_master/root/h69/hdf/13493043593246/-286Wx359H-441000453-olive-MODEL.jpg,assets_ajio_com_medias_sys_master_root_h69_hdf_13493043593246_-286wx359h-441000453-olive-model_jpg.png,
performax,799,559,https://trends.ajio.com/performax-fastdry-active-polo-t-shirt-with-tipping/p/441135822_jetblack,https://assets.ajio.com/medias/sys_master/root/20211202/oM4k/61a7f434aeb2690110eaeaad/-286Wx359H-441135822-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20211202_om4k_61a7f434aeb2690110eaeaad_-286wx359h-441135822-....png,
teamspirit,399,335,https://trends.ajio.com/teamspirit-core-rib-v-neck-t-shirt/p/441000449_rust,https://assets.ajio.com/medias/sys_master/root/20210601/827D/60b53d5df997ddb312af4ac5/-286Wx359H-441000449-rust-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20210601_827d_60b53d5df997ddb312af4ac5_-286wx359h-441000449-....png,
teamspirit,599,473,https://trends.ajio.com/teamspirit-heathered-joggers-with-insert-pockets/p/441031714_maroon,https://assets.ajio.com/medias/sys_master/root/heb/h54/15164222373918/-286Wx359H-441031714-maroon-MODEL.jpg,assets_ajio_com_medias_sys_master_root_heb_h54_15164222373918_-286wx359h-441031714-maroon-model_jpg.png,
performax,"1,299",909,https://trends.ajio.com/performax-mid-rise-track-pants-with-side-panels/p/441129539_jetblack,https://assets.ajio.com/medias/sys_master/root/20211217/ljHe/61bcb32df997ddf8f1559332/-286Wx359H-441129539-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20211217_ljhe_61bcb32df997ddf8f1559332_-286wx359h-441129539-....png,
performax,999,599,https://trends.ajio.com/performax-quickdry-unlined-running-windbreaker-jacket/p/441110840_jetblack,https://assets.ajio.com/medias/sys_master/root/20201225/uTHR/5fe610a2aeb2694fd3000aa6/-286Wx359H-441110840-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20201225_uthr_5fe610a2aeb2694fd3000aa6_-286wx359h-441110840-....png,
performax,"1,499",750,https://trends.ajio.com/performax-heathered-quickdry-track-pants-with-zippered-insert-pockets/p/441129783_ltgrey,https://assets.ajio.com/medias/sys_master/root/20211202/DGdh/61a7cc05f997ddf8f12c7bee/-286Wx359H-441129783-ltgrey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20211202_dgdh_61a7cc05f997ddf8f12c7bee_-286wx359h-441129783-....png,
performax,599,449,https://trends.ajio.com/performax-striped-crew-neck-t-shirt/p/441134772_darkblue,https://assets.ajio.com/medias/sys_master/root/20220315/CyDl/622fa22df997dd03e21245c1/-286Wx359H-441134772-darkblue-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220315_cydl_622fa22df997dd03e21245c1_-286wx359h-441134772-....png,
teamspirit,799,567,https://trends.ajio.com/teamspirit-brand-print-polo-t-shirt/p/441132316_rust,https://assets.ajio.com/medias/sys_master/root/20220222/2HCt/6213f1cbaeb26921afa70e48/-286Wx359H-441132316-rust-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220222_2hct_6213f1cbaeb26921afa70e48_-286wx359h-441132316-....png,
performax,799,599,https://trends.ajio.com/performax-racquet-panelled-quick-dry-shorts-with-insert-pockets/p/441134825_jetblack,https://assets.ajio.com/medias/sys_master/root/20220224/DGvD/62169087aeb26921afb32a24/-286Wx359H-441134825-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220224_dgvd_62169087aeb26921afb32a24_-286wx359h-441134825-....png,
teamspirit,599,425,https://trends.ajio.com/teamspirit-typographic-print-crew-neck-t-shirt/p/441132324_white,https://assets.ajio.com/medias/sys_master/root/20220125/0cgK/61ef2217f997dd662339d889/-286Wx359H-441132324-white-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220125_0cgk_61ef2217f997dd662339d889_-286wx359h-441132324-....png,
teamspirit,599,503,https://trends.ajio.com/teamspirit-heathered-joggers-with-insert-pockets/p/441031714_ecrumelange,https://assets.ajio.com/medias/sys_master/root/h9b/he1/15138635022366/-286Wx359H-441031714-ecrumelange-MODEL.jpg,assets_ajio_com_medias_sys_master_root_h9b_he1_15138635022366_-286wx359h-441031714-ecrumelange-mode....png,
performax,799,559,https://trends.ajio.com/performax-colourblock-shorts-with-contrast-taping/p/441134786_darkgreen,https://assets.ajio.com/medias/sys_master/root/20220408/aJT1/624f2fe3aeb26921af114615/-286Wx359H-441134786-darkgreen-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220408_ajt1_624f2fe3aeb26921af114615_-286wx359h-441134786-....png,
teamspirit,999,649,https://trends.ajio.com/teamspirit-camouflage-print-joggers-with-insert-pockets/p/441132360_grey,https://assets.ajio.com/medias/sys_master/root/20211217/zRU0/61bca855f997ddf8f1555187/-286Wx359H-441132360-grey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20211217_zru0_61bca855f997ddf8f1555187_-286wx359h-441132360-....png,
performax,799,559,https://trends.ajio.com/performax-racquet-panelled-quick-dry-shorts-with-insert-pockets/p/441134825_white,https://assets.ajio.com/medias/sys_master/root/20220303/mD9K/621fd704aeb26921afc4553e/-286Wx359H-441134825-white-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220303_md9k_621fd704aeb26921afc4553e_-286wx359h-441134825-....png,
performax,999,699,https://trends.ajio.com/performax-quick-dry-panelled-track-pants-with-logo-print/p/441134781_jetblack,https://assets.ajio.com/medias/sys_master/root/20220303/SLqp/621fbdcfaeb26921afc3c129/-286Wx359H-441134781-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220303_slqp_621fbdcfaeb26921afc3c129_-286wx359h-441134781-....png,
performax,"1,499",899,https://trends.ajio.com/performax-zip-front-quick-dry-hybrid-jacket/p/441129545_jetblack,https://assets.ajio.com/medias/sys_master/root/20220114/y2e7/61e19ad6aeb2695cdd15c060/-286Wx359H-441129545-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220114_y2e7_61e19ad6aeb2695cdd15c060_-286wx359h-441129545-....png,
teamspirit,899,584,https://trends.ajio.com/teamspirit-mid-rise-cropped-slim-fit-track-pants-with-elasticated-drawstring-waist/p/441133287_charcoal,https://assets.ajio.com/medias/sys_master/root/20211207/m3IA/61ae7991aeb2690110f7cc47/-286Wx359H-441133287-charcoal-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20211207_m3ia_61ae7991aeb2690110f7cc47_-286wx359h-441133287-....png,
teamspirit,499,419,https://trends.ajio.com/teamspirit-core-varsity-polo-t-shirt-with-contrast-tipping/p/441113673_white,https://assets.ajio.com/medias/sys_master/root/20210818/cjAl/611c24bcaeb269a268758bfd/-286Wx359H-441113673-white-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20210818_cjal_611c24bcaeb269a268758bfd_-286wx359h-441113673-....png,
teamspirit,599,425,https://trends.ajio.com/teamspirit-brand-print-crew-neck-t-shirt/p/441134904_jetblack,https://assets.ajio.com/medias/sys_master/root/20220308/7E9U/622675aef997dd03e2062c77/-286Wx359H-441134904-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220308_7e9u_622675aef997dd03e2062c77_-286wx359h-441134904-....png,
performax,599,449,https://trends.ajio.com/performax-graphic-print-crew-neck-t-shirt/p/441134794_jetblack,https://assets.ajio.com/medias/sys_master/root/20220224/GL7g/62167d41aeb26921afb2dd57/-286Wx359H-441134794-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220224_gl7g_62167d41aeb26921afb2dd57_-286wx359h-441134794-....png,
